Test_English,Test_Kinyarwanda,Prop_NLLB,Prop_ChatGPT,Prop_GT,NLLB_BLEU,GPT_BLEU,GT_BLEU
I’m a girl,Ndi umukobwa,Ndi umukobwa,Ndi umugore,Ndi umukobwa,,,
The book is on the table,Igitabo kiri kumeza,Icyo gitabo kiri ku meza,Igitabo cyavuye kuri tawure,Igitabo kiri kumeza,,,
I wake up early every day,Buri munsi mbyuka kare cyane,mbyuka kare buri munsi,Ndagukunda ngwino koko munsi yose,Mbyuka kare buri munsi,,,
The children are playing football outside,Abana bari gukina umupira w’amaguru hanze,Abana barimo gukina umupira hanze,Abana barasaba imikino ya futuboli ku baho,Abana bakina umupira hanze,,,
Before I go to class I take breakfast,"Mbere yuko njya mu ishuri, mbaza gufata ifunguro rya mugitondo",Mbere yo kujya mu ishuri mfata ifunguro rya mu gitondo,"Mbere nshyira mu klasa, ndasaba gutanga isosi","Mbere yuko njya mu ishuri, mfata ifunguro rya mu gitondo",,,
The man who knew many languages was given the job of being an interpreter,Umugabo waruzi indimi nyinshi yahawe akazi ko kuba umusemuzi,Umugabo wari uzi indimi nyinshi yahawe akazi ko gusemura,Umuntu wese wari uzi icyongereza yarwaye igihugu cya gusoma,Uyu mugabo wari uzi indimi nyinshi yahawe akazi ko kuba umusemuzi,,,
After many years of research and experimentation a team of a student and a teacher was able to identify a technology method that is used for analyzing and understanding human language,"Nyuma y’imyaka myinshi y’ubushakashatsi n’igeragezwa, itsinda ry’umunyeshuri n’umwarimu ryabashije gukora uburyo bw’ikoranabuhanga bukoreshwa mu gusesengura no kumva ururimi rw’abantu",Nyuma yimyaka myinshi yubushakashatsi no kugerageza itsinda ryumunyeshuri numwarimu bashoboye kumenya uburyo bwikoranabuhanga bukoreshwa mu gusesengura no kumva imvugo yabantu.,"Nyuma y’amasaha atandatu yo gusoma n’ubuvugizi, icyorezo cy’umugeni n’umunyeshuri yarabashinjwemo kwiyumvamo ibitangaza bitandukanye by’ikirengacumu kwifatanya na ngombwa y’ubutumwa bwa buri muntu",Nyuma yimyaka myinshi yubushakashatsi nubushakashatsi itsinda ryabanyeshuri numwarimu bashoboye kumenya uburyo bwikoranabuhanga rikoreshwa mugusesengura no gusobanukirwa ururimi rwabantu,,,
It is raining,Imvura iragwa,Imvura irimo kugwa,Ibihe bya minsi,Imvura iri kugwa,,,
The birds are singing,Inyoni ziri kuririmba,Inyoni ziririmba,Ibiseke bibaza,Inyoni ziririmba,,,
The merchant opened a new store in the city,Umucuruzi yafunguye iduka rishya mu mujyi,Umucuruzi yafunguye iduka rishya mumujyi,Umushyikirano watsinzwe ibyiciro by’ibiro mu mujyi,Umucuruzi yafunguye iduka rishya mu mujyi,,,
A student who recently won an award in an art competition chose to use her prize to donate to charity,"Umunyeshuri wari uherutse gutsindira igihembo mu marushanwa y’ubugeni, yahisemo gukoresha igihembo cye mu gutanga imfashanyo mu bikorwa by’ubugiraneza",Umunyeshuri uherutse gutwara igihembo mumarushanwa yubuhanzi yahisemo gukoresha igihembo cye gutanga impano,Umunyeshuri wavutse wamenyekanye n’ibihembo mu gikorwa cy’ubuhanga yabyikorera agatsiko kugeza yari atunze mu muryango mwiza,Umunyeshuri uherutse gutsindira igihembo mumarushanwa yubuhanzi yahisemo gukoresha igihembo cye kugirango atange imfashanyo,,,
The cat is chasing an insect in the garden,Injangwe iri kwirukankana agasimba kari mu busitani,Injangwe irimo kwirukana udukoko mu busitani,Inzoka irasa ishako mu kirima,Injangwe yirukanye udukoko mu busitani,,,
It is nice outside today,Hanze harasa neza uyu munsi,Ni byiza hanze uyumunsi,Mu kirima hari ibyo nziza,Nibyiza hanze uyumunsi,,,
I like dogs more than cats,Nkunda imbwa kurusha injangwe,Nkunda imbwa kuruta injangwe,Ndagukunda imbwa kandi cyane,Nkunda imbwa kuruta injangwe,,,
This class is hard,Iri somo rirakomeye,Iri somo riragoye,Iyi klasa ni nziza,Iri somo riragoye,,,
The national team player known for his soccer skills announced that he is going to retire and become a journalist,"Umukinnyi w’ikipe y’igihugu, wari uzwiho ubuhanga mu gukina umupira w’amaguru, yatangaje ko agiye kureka gukina umupira w’amaguru aka umunyamakuru",Umukinnyi wAmavubi uzwiho ubuhanga bwe mu mupira wamaguru yatangaje ko agiye guhagarika umupira akazaba umunyamakuru,Umwaka ukomeye wazwi n'uburyo yifuza guhaga afite ikipe y'umurwa yakomoza ko ari ukoza umurongo n'aho atangira kuba umuhanzi w'imyidagaduro,Umukinnyi w'ikipe y'igihugu uzwiho ubuhanga bw'umupira w'amaguru yatangaje ko agiye kujya mu kiruhuko cy'izabukuru akaba umunyamakuru,,,
There is too much noise in the library,Mw’isomero harimo urusaku rwinshi,Mu isomero hari urusaku rwinshi,Bibazo n'ibibarimbere muri shuli,Hano hari urusaku rwinshi mu isomero,,,
My brother is afraid of insects,Musaza wanjye atinya udukoko duto,Murumuna wanjye atinya udukoko,Umukobwa wanjye atowe imirire,Murumuna wanjye atinya udukoko,,,
Kinyarwanda is a difficult language to translate in English because there are some words it does not have,Ikinyarwanda ni ururimi rugoye kurushyira mu cyongereze kuko hari amagambo kidafite,Ikinyarwanda ni ururimi rugoye gusemurwa mu cyongereza kuko hari amagambo adafite,Kinyarwanda ni ururimi rurerimbuje kubvumvurirwa mu kirundi kuko haba hasigaye amagambo yabanza kutubwa,Kinyarwanda ni ururimi rutoroshye guhindura mucyongereza kuko hari amagambo amwe adafite,,,
My cat probably thinks he is the leader of this house,Injangwe yanjye ishobora kuba itekereza ko ariyo muyobozi w’iyi nzu,Injangwe yanjye birashoboka ko yibwira ko ari umuyobozi w'iyi nzu,Inzoka yanjye yari irashaka kuburambira ariko yari icyumweru mw’imvura,Injangwe yanjye ishobora kuba yibwira ko ari umuyobozi wiyi nzu,,,
